role,extracted_skills
Software Engineer,"['time', 'airflow', 'lib', 'tensorflow', 'panda', 'dock', 'python', 'nump', 'learning', 'aws', 'mysq', 'data', 'xgboo', 'spark', 'machine', 'deep', 'series', 'reinforcement', 'science', 'kubernet', 'sci', 'analysis']"
Software Engineer,"['spark', 'lib', 'panda', 'machine', 'deep', 'less', 'learning', 'dock', 'python', 'kubernet', 'flink', 'sci', 'kafk', 'nump', 'air', 'xgboo']"
Software Engineer,"['algorithms', 'structures', 'sql', 'engineering', 'apache', 'gi', 'data', 'java', 'analysis']"
Software Engineer,"['look', 'airflow', 'sr', 'postgresq', 'engineering', 'mongo', 'gi', 'data', 'circle', 'et', 'wareho']"
Software Engineer,"['machine', 'bash', 'learning', 'git', 'science', 'python', 'micro', 'data', 'tp', 'warehousing']"
Software Engineer,"['spark', 'ft', 'flake', 'machine', 'ho', 'learning', 'aws', 'data', 'et', 'warehousing']"
Software Engineer,"['spark', 'machine', 'learning', 'science', 'sql', 'python', 'aw', 'data', 'java', 'scala', 'et']"
Software Engineer,"['spark', 'algorithms', 'machine', 'airflow', 'learning', 'science', 'aws', 'engineering', 'python', 'data', 'xgboo', 'analysis']"
Software Engineer,"['structures', 'learning', 'data', 'machine']"
Software Engineer,"['spark', 'machine', 'airflow', 'learning', 'science', 'engineering', 'python', 'aw', 'data', 'xgboo', 'analysis']"
Software Engineer,"['time', 'airflow', 'lib', 'tensorflow', 'panda', 'python', 'ku', 'nump', 'learning', 'aws', 'mysq', 'data', 'net', 'xgboo', 'spark', 'docker', 'machine', 'deep', 'series', 'science', 'analysis']"
Software Engineer,"['spark', 'javascript', 'engineering', 'apache', 'intelligence', 'agile', 'data', 'artificial', 'et', 'java', 'architecture', 'analysis']"
Software Engineer,"['algorithms', 'structures', 'machine', 'azure', 'learning', 'sr', 'engineering', 'intelligence', 'kubernet', 'reliability', 'aw', 'artificial', 'data', 'gcp']"
Software Engineer,"['time', 'airflow', 'carlo', 'lib', 'tensorflow', 'panda', 'python', 'ku', 'nump', 'learning', 'aws', 'mysq', 'data', 'net', 'xgboo', 'spark', 'docker', 'machine', 'deep', 'series', 'science', 'analysis']"
Software Engineer,"['artificial', 'intelligence', 'learning', 'machine']"
Software Engineer,"['spark', 'machine', 'airflow', 'learning', 'science', 'engineering', 'python', 'kubernet', 'aw', 'data', 'xgboo', 'analysis']"
Software Engineer,"['linux', 'docker', 'javascript', 'python', 'kubernet', 'agile', 'unix', 'java']"
Data Engineer,"['spark', 'google', 'go', 'athena', 'dock', 'sql', 'kafk', 'engineering', 'python', 'aw', 'ku', 'data', 'cloud', 'java', 'scala', 'et', 'net']"
Software Engineer,"['design', 'patterns', 'go', 'android']"
Software Engineer,"['linux', 'react', 'actions', 'javascript', 'gith', 'jenkins']"
Software Engineer,"['machine', 'dynamodb', 'learning', 'sr', 'aws', 'science', 'mysq', 'intelligence', 'data', 'reliability', 'artificial']"
Software Engineer,"['design', 'patterns', 'go', 'android']"
Software Engineer,"['algorithms', 'structures', 'machine', 'azure', 'learning', 'sr', 'engineering', 'intelligence', 'kubernet', 'reliability', 'aw', 'artificial', 'data', 'gcp']"
Software Engineer,"['design', 'patterns', 'go', 'android']"
Software Engineer,"['design', 'patterns', 'go', 'android']"
Software Engineer,"['unit', 'ui', 'swift', 'testing', 'ios', 'patterns']"
Software Engineer,"['java', 'python', 'javascript', 'agile']"
Software Engineer,[]
Software Engineer,"['algorithms', 'structures', 'python', 'aw', 'hadoop', 'data', 'ku', 'net', 'ka']"
Sales Manager (International Markets) @ENESTECH Software,[]
Head of Marketing @ENESTECH Software,"['go', 'sql']"
ÐšÐµÑ€Ñ–Ð²Ð½Ð¸Ðº ÐœÐ°Ñ€ÐºÐµÑ‚Ð¸Ð½Ð³Ñƒ / Head of Marketing @ENESTECH Software,"['go', 'sql']"
Software Engineer,"['java', 'python', 'javascript', 'agile']"
Software Engineer,['agile']
ÐœÐµÐ½ÐµÐ´Ð¶ÐµÑ€Ð° Ð· ÐŸÑ€Ð¾Ð´Ð°Ð¶Ñƒ (ÐœÑ–Ð¶Ð½Ð°Ñ€Ð¾Ð´Ð½Ñ– Ñ€Ð¸Ð½ÐºÐ¸)/ Sales Manager (International Markets) @ENESTECH Software,[]
Software Engineer,"['kotl', 'javascript', 'testing', 'ium', 'agile', 'automation', 'java', 'se']"
Product Manager,['https']
Software Engineer,"['go', 'micro']"
Software Engineer,"['graphq', 'react', 'javascript', 'science', 'php', 'python', 'data', 'angular', 'vu']"
Product Manager,[]
Software Engineer,"['uid', 'go', 'airflow', 'red', 'dock', 'python', 'kubernet', 'java', 'scala', 'ka']"
ÐœÐµÐ½ÐµÐ´Ð¶ÐµÑ€ Ð· Ð¿Ñ€Ð¾Ð´Ð°Ð¶Ñ–Ð² (ÐœÑ–Ð¶Ð½Ð°Ñ€Ð¾Ð´Ð½Ñ– Ñ€Ð¸Ð½ÐºÐ¸)/ Sales Manager (International Markets) @ENESTECH Software,[]
Product Manager,[]
Software Engineer,"['python', 'kotl']"
Software Engineer,[]
Product Manager,"['nosq', 'agile', 'sql']"
Software Engineer,"['linux', 'python', 'aws']"
Software Engineer,[]
Product Manager,[]
Software Engineer,"['linux', 'bash', 'graphq', 'graph', 'red', 'science', 'so', 'postgresq', 'devops', 'micro', 'data', 'agile', 'redis', 'elastic', 'rch']"
Software Engineer,"['native', 'ruby', 'react', 'graphql', 'javascript', 'html', 'dock', 'devops', 'gi', 'cs']"
Software Engineer,"['less', 'data', 'science']"
Software Engineer,"['go', 'javascript', 'aws', 'sql', 'python', 'gith']"
Software Engineer,"['native', 'react', 'typescript', 'dock', 'ku', 'mascript', 'ng', 'agile']"
Software Engineer,"['vue', 'patterns', 'react', 'javascript', 'object', 'sql', 'architectural', 'java', 'oriented', 'angular']"
Software Engineer,"['javascript', 'aws', 'react']"
Software Engineer,"['javascript', 'cs', 'react']"
Software Engineer,"['structures', 'react', 'typescript', 'javascript', 'dock', 'aw', 'data', 'terraform', 'cloud', 'circle']"
Software Engineer,[]
Software Engineer,"['javascript', 'aw', 'react']"
Software Engineer,"['structures', 'react', 'typescript', 'javascript', 'dock', 'aws', 'data', 'terraform', 'cloud', 'circle']"
Software Engineer,"['go', 'aws', 'mysq', 'python', 'micro', 'gith', 'redis']"
Software Engineer,"['ruby', 'react', 'https', 'javascript', 'xi', 'cript']"
Software Engineer,[]
Software Engineer,[]
Software Engineer,"['less', 'python', 'javascript', 'react']"
Software Engineer,"['javascript', 'react']"
Software Engineer,[]
Software Engineer,"['css', 'per', 'jenkins', 'angular', 'kotlin', 'typescript', 'javascript', 'lambda', 'dock', 'python', 'gi', 'linux', 'unit', 'react', 'spring', 'graphq', 'nosq', 'aws', 'mysq', 'elastic', 'jun', 'bash', 'html', 'testing', 'red', 'apache', 'tom', 'java', 'mongodb']"
Software Engineer,"['graph', 'react']"
Software Engineer,"['graph', 'react']"
Software Engineer,"['go', 'angularjs', 'react', 'http', 'javascript', 'html', 'cypress', 'mascript', 'angular', 'se', 'vu']"
Software Engineer,"['go', 'docker', 'bis', 'unit', 'http', 'less', 'https', 'javascript', 'testing', 'dock', 'sql', 'nosq', 'aws', 'sc', 'agile', 'java', 'oop']"
Software Engineer,"['go', 'react', 'typescript', 'less', 'ku', 'net']"
Software Engineer,"['graphq', 'typescript', 'javascript', 'postgresq', 'aw', 'gith']"
Software Engineer,"['go', 'python', 'ku', 'net']"
Software Engineer,"['lambda', 'aws', 'sc', 'aw', 'micro', 'agile']"
Software Engineer,"['unit', 'react', 'typescript', 'less', 'https', 'html', 'javascript', 'testing', 'sc', 'css', 'agile', 'cs', 'bis']"
Software Engineer,"['azure', 'dock', 'aws', 'micro', 'agile', 'scala', 'java', 'fi', 'gcp']"
Software Engineer,"['python', 'data', 'science']"
Software Engineer,"['sas', 'react', 'typescript', 'https', 'ruby', 'javascript', 'ios', 'cript', 'android']"
Software Engineer,"['ruby', 'machine', 'react', 'bash', 'learning', 'postgresq', 'red', 'sql', 'vu', 'agile', 'gi', 'code']"
Software Engineer,"['graphq', 'typescript', 'github', 'javascript', 'postgresq', 'aw']"
Software Engineer,"['go', 'cassandra', 'spring', 'boot', 'red', 'dock', 'php', 'ku', 'net', 'java', 'kafk', 'gcp']"
Software Engineer,"['rs', 'ruby', 'machine', 'bash', 'learning', 'postgresq', 'red', 'sql', 'agile', 'gi']"
Software Engineer,"['python', 'data', 'science']"
Software Engineer,"['native', 'react', 'django', 'javascript', 'science', 'python', 'micro', 'agile', 'terraform', 'data', 'angular']"
Software Engineer,"['cs', 'react', 'typescript', 'graph', 'javascript', 'html', 'sr', 'aws', 'red', 'mysq', 'devops', 'java', 'angular', 'elastic', 'vu']"
Software Engineer,['go']
Software Engineer,"['vu', 'ruby', 'react']"
Software Engineer,"['typescript', 'react']"
Software Engineer,"['block', 'react', 'typescript', 'blockchai', 'html', 'javascript', 'agile', 'cs']"
Software Engineer,"['graphq', 'react', 'typescript', 'django', 'html', 'javascript', 'python', 'agile', 'angular', 'vu']"
Software Engineer,"['go', 'ruby', 'azure', 'aw', 'gcp']"
Software Engineer,"['docker', 'an', 'https', 'object', 'sql', 'python', 'kubernet', 'agile', 'java', 'oriented', 'programming']"
Software Engineer,[]
Software Engineer,[]
Software Engineer,['agile']
Software Engineer,"['linux', 'block', 'javascript', 'ography', 'python', 'micro']"
Software Engineer,"['react', 'agile', 'data', 'science']"
Software Engineer,"['graphq', 'react', 'spring', 'graph', 'javascript', 'lambda', 'boot', 'aws', 'sc', 'cypress', 'aw', 'ock', 'agile', 'gith', 'java', 'jenkins', 'bitbuck']"
Software Engineer,"['native', 'react', 'sql', 'kell', 'python', 'java', 'angular']"
Software Engineer,"['spark', 'react', 'javascript', 'dock', 'aws', 'mongo', 'python', 'ku', 'unix', 'java']"
Software Engineer,['less']
Software Engineer,"['ansible', 'docker', 'graphq', 'azure', 'javascript', 'object', 'sql', 'aws', 'science', 'python', 'kubernet', 'agile', 'data', 'java', 'oriented', 'gcp', 'programming']"
Software Engineer,['python']
Software Engineer,"['ansible', 'docker', 'object', 'sql', 'aws', 'python', 'kubernet', 'agile', 'java', 'oriented']"
Software Engineer,"['sq', 'sql', 'aws', 'mysq', 'aw', 'agile']"
Software Engineer,"['design', 'patterns', 'open', 'azure', 'html', 'javascript', 'sql', 'sc', 'ji', 'angular', 'cs', 'sl']"
Software Engineer,"['scala', 'go', 'micro', 'sql']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['go', 'docker', 'typescript', 'javascript', 'nosq', 'sql', 'devops', 'kubernet', 'micro', 'rch', 'scala', 'redis', 'elastic', 'mongodb']"
Software Engineer,"['go', 'sql', 'python', 'micro', 'scala']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['go', 'sql', 'python', 'micro', 'scala']"
Software Engineer,"['sql', 'angular', 'bis', 'javascript', 'bistro', 'sc', 'cs', 'go', 'unit', 'react', 'less', 'nosq', 'aws', 'agile', 'oop', 'reactjs', 'docker', 'http', 'https', 'html', 'testing', 'java']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['less', 'learning', 'machine']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['spark', 'react', 'javascript', 'dock', 'aws', 'mongo', 'python', 'ku', 'unix', 'java']"
Software Engineer,[]
Software Engineer,"['graphq', 'typescript', 'javascript', 'postgresq', 'aw', 'gith']"
Software Engineer,"['puppet', 'postgresq', 'css', 'aw', 'chef', 'jenkins', 'angular', 'dock', 'cs', 'react', 'less', 'mysq', 'cl', 'vu', 'ansible', 'sas', 'html', 'git', 'php', 'redis']"
Software Engineer,"['sales', 'go', 'ruby', 'graphq', 'typescript', 'javascript', 'lang']"
Software Engineer,"['go', 'docker', 'typescript', 'javascript', 'sr', 'nosq', 'sql', 'devops', 'kubernet', 'micro', 'rch', 'scala', 'redis', 'elastic', 'mongodb']"
Software Engineer,"['go', 'docker', 'typescript', 'javascript', 'sr', 'nosq', 'sql', 'devops', 'kubernet', 'micro', 'rch', 'scala', 'redis', 'elastic', 'mongodb']"
Software Engineer,[]
Software Engineer,"['react', 'typescript', 'javascript', 'postgresq', 'gith']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['learning', 'machine']"
Software Engineer,"['go', 'javascript', 'springboot', 'dock', 'micro', 'java', 'ka']"
Software Engineer,"['google', 'server', 'mysql', 'graphq', 'azure', 'postgresq', 'sql', 'aws', 'nestjs', 'mysq', 'dock', 'aw', 'micro', 'cloud', 'ku', 'net', 'postgres']"
Software Engineer,"['postgresq', 'sql', 'nestjs', 'aw', 'cloud', 'angular', 'google', 'post', 'typescript', 'azure', 'dock', 'ku', 'react', 'graphq', 'aws', 'mysq', 'micro', 'net', 'vu', 'server']"
Software Engineer,"['google', 'go', 'server', 'mysql', 'graphq', 'azure', 'microser', 'postgresq', 'sql', 'nestjs', 'dock', 'mysq', 'aw', 'micro', 'cloud', 'kubernet', 'postgres']"
Software Engineer,"['nos', 'react', 'typescript', 'graph', 'nestjs', 'micro', 'angular', 'vu']"
Software Engineer,"['google', 'go', 'post', 'server', 'react', 'typescript', 'postgre', 'azure', 'graphq', 'sql', 'nestjs', 'mysq', 'aw', 'micro', 'cloud', 'angular', 'vu']"
Software Engineer,"['go', 'react', 'nos', 'typescript', 'graph', 'nestjs', 'aw', 'micro', 'angular', 'vu']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['reactjs', 'html', 'javascript', 'git', 'chrome', 'cs', 'vu']"
Software Engineer,"['scala', 'go', 'micro', 'sql']"
Software Engineer,"['react', 'django', 'typescript', 'javascript', 'python', 'postgres', 'vu']"
Software Engineer,"['java', 'ruby', 'graphq']"
Software Engineer,"['typescript', 'graphq', 'cs', 'react']"
Software Engineer,"['react', 'django', 'typescript', 'javascript', 'postgresq', 'python', 'vu']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['ruby', 'unit', 'scrum', 'testing', 'dock', 'sql', 'aws', 'python', 'devops', 'kubernet', 'agile', 'java']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['ji', 'aw', 'cloud', 'jenkins', 'design', 'javascript', 'dock', 'python', 'devops', 'gi', 'ruby', 'nosq', 'mysq', 'agile', 'patterns', 'elastic', 'rch', 'bash', 'https', 'red', 'java']"
Software Engineer,"['graphq', 'spring', 'ko', 'java', 'scala', 'kotlin']"
Software Engineer,"['spark', 'event', 'science', 'nosq', 'flink', 'data', 'ka', 'driven']"
Software Engineer,[]
Software Engineer,"['dev', 'testing', 'agile']"
Software Engineer,"['python', 'kotl']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'react', 'kotl', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'react', 'kotl', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'react', 'kotl', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['structures', 'dev', 'testing', 'agile', 'data', 'oriented']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circleci', 'data']"
Software Engineer,"['ruby', 'react', 'kotl', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Operations - Full Stack/Back End,"['pip', 'react', 'django', 'javascript', 'aws', 'python', 'flask', 'fl']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['ruby', 'kotl', 'react', 'science', 'python', 'aw', 'circle', 'data']"
Software Engineer,"['design', 'reactjs', 'go', 'angularjs', 'js', 'scss', 'typescript', 'less', 'html', 'javascript', 'css', 'patterns']"
Software Engineer,"['design', 'reactjs', 'go', 'angularjs', 'js', 'typescript', 'less', 'ss', 'html', 'javascript', 'css', 'patterns']"
Software Engineer,"['design', 'reactjs', 'go', 'angularjs', 'js', 'scss', 'typescript', 'less', 'html', 'javascript', 'css', 'patterns']"
Software Engineer,"['scala', 'go', 'sql']"
Software Engineer,"['design', 'go', 'angularjs', 'react', 'typescript', 'html', 'javascript', 'patterns', 'cs']"
Software Engineer,"['design', 'reactjs', 'js', 'go', 'html', 'javascript', 'patterns', 'cs']"
Software Engineer,"['scala', 'go', 'sql']"
Software Engineer,"['design', 'reactjs', 'js', 'go', 'html', 'javascript', 'patterns', 'cs']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['reactjs', 'html', 'javascript', 'git', 'chrome', 'cs']"
Software Engineer,"['react', 'http', 'airflow', 'python', 'aw', 'micro', 'gi', 'fl']"
Software Engineer,"['clean', 'time', 'react', 'typescript', 'ruby', 'graph', 'javascript', 'object', 'dock', 'html', 'php', 'python', 'ku', 'agile', 'oriented', 'cs', 'ka', 'code']"
Software Engineer,"['react', 'less', 'kotl', 'sc', 'python', 'kubernet', 'agile', 'java']"
Software Engineer,"['machine', 'kotl', 'typescript', 'react', 'graphq', 'swift', 'javascript', 'testing', 'learning', 'html', 'python', 'aw', 'terraform', 'scala', 'angular', 'cs', 'vu']"
Software Engineer,"['kotl', 'react', 'http', 'python', 'java']"
Software Engineer,['less']
Software Engineer,"['google', 'go', 'machine', 'react', 'learning', 'sql', 'python', 'ku', 'cloud', 'net', 'java', 'micro']"
Software Engineer,"['go', 'sql', 'python', 'java', 'scala']"
Software Engineer,"['spark', 'event', 'science', 'nosq', 'data', 'ka', 'driven']"
