University,Degree Program,Year,Course Name,Skills
SJP,Software Engineering,1,Fundamentals of Programming,"Programming, Debugging, Variables, Control Structures, Functions"
SJP,Software Engineering,1,Introduction to Software Engineering,"Software Design, Code Review, Documentation, SDLC, Requirements Engineering"
SJP,Software Engineering,1,Leadership and Human Skills Development,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,1,Object Oriented Programming,"Design Patterns, OOP Design, Inheritance, Polymorphism, Encapsulation"
SJP,Software Engineering,1,Database Management Systems,"SQL, Database Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Normalization, ER Diagrams, CRUD Operations, Relational Algebra"
SJP,Software Engineering,1,Data Structures and Algorithms,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
SJP,Software Engineering,1,Formal Methods in Software Development,"Formal Specification, Model Checking, Theorem Proving, Z Notation, Formal Verification"
SJP,Software Engineering,1,Operating Systems,"Team Management, Process Management, Memory Management, Scheduling, Deadlock Prevention, Linux/Unix"
SJP,Software Engineering,1,Rapid Application Development,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,1,Advanced Mathematics,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
SJP,Software Engineering,2,Group Project,"Git, Documentation, Project Planning, Team Collaboration, Presentation Skills"
SJP,Software Engineering,2,Data Communication and Networks,"Network Protocols, Network Design, Communication, TCP/IP, Routing, Switching, Wireshark, Presentation Skills, Professional Writing"
SJP,Software Engineering,2,Object Oriented Analysis and Design,"Design Patterns, OOP Design, Inheritance, Polymorphism, Encapsulation"
SJP,Software Engineering,2,Web Technologies,"HTML, CSS, JavaScript, Frontend Development, jQuery, Bootstrap"
SJP,Software Engineering,2,Software Project Management,"Git, Documentation, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Project Planning, Team Collaboration, Presentation Skills"
SJP,Software Engineering,2,Mathematics for computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
SJP,Software Engineering,2,Artificial Intelligence,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
SJP,Software Engineering,2,Essentials of Computer Law,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,2,Fundamentals of Software Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
SJP,Software Engineering,2,Software testing and validation,"Python, Java, JavaScript, Selenium"
SJP,Software Engineering,2,Software Quality Assurance,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,2,Software Configuration Management,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
SJP,Software Engineering,2,Industrial Inspection,"Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
SJP,Software Engineering,2,Management Information Systems,"CRM, Enterprise Systems, Business Process Modeling, ERP, Business Analysis"
SJP,Software Engineering,3,Research Methodologies,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Software Engineering,3,Software safety and reliability,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,3,Social and Professional Issues in Information Technology,"Communication, Technical Writing, Teamwork, Professional Conduct"
SJP,Software Engineering,3,Software Process Management,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
SJP,Software Engineering,3,Enterprise Information Systems,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,3,Machine Learning,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
SJP,Software Engineering,3,Visual Computing,"Visualization Techniques, Interactive Graphics, Visual Analytics, Scientific Visualization"
SJP,Software Engineering,3,Introduction to Business Intelligence,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
SJP,Software Engineering,3,High Performance Computing,"MPI, OpenMP, CUDA, GPU Programming, Parallel Algorithms, HPC"
SJP,Software Engineering,3,Mobile Computing,"Kotlin, Swift, Android Studio, Mobile UI/UX, Mobile Architecture, App Deployment"
SJP,Software Engineering,3,Digital Image Processing and Computer Vision,"OpenCV, Image Filtering, Edge Detection, Object Detection, Feature Extraction, Image Segmentation, Boolean Algebra, Logic Gates, Sequential Circuits, Combinational Circuits, VHDL"
SJP,Software Engineering,3,Natural Language Processing,"Communication, Presentation Skills, Professional Writing"
SJP,Software Engineering,3,Human Computer Interactions,"UI/UX Design, Usability Testing, Prototyping, User Research, Interaction Design, Figma"
SJP,Software Engineering,3,Independent Research Studies,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Software Engineering,3,Software Evolution,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,3,Human Resource Management,"Risk Management, Client Management, Organizational Behavior, Performance Management"
SJP,Software Engineering,3,Middleware Architecture,"Integration Patterns, Message Queues, Middleware Architecture, SOA, ESB"
SJP,Software Engineering,3,Deep leaning,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,3,Big Data Analytics,"Hadoop, Spark, Scala, MapReduce, Hive, Distributed Computing"
SJP,Software Engineering,4,Individual Research Project,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Software Engineering,4,Cloud Computing and Network Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
SJP,Software Engineering,4,Service Oriented Architecture,"Integration Patterns, Message Queues, Middleware Architecture, SOA, ESB"
SJP,Software Engineering,4,Software Engineering Economics,"Software Design, Code Review, Documentation, SDLC, Requirements Engineering, Cost-Benefit Analysis, Economic Modeling, Financial Accounting, Budget Management"
SJP,Software Engineering,4,Robotics and Automation,"ROS, Robot Kinematics, Path Planning, Computer Vision for Robotics, Sensor Fusion, Control Systems"
SJP,Software Engineering,4,Embedded Systems and IOT,"Arduino, Raspberry Pi, IoT Protocols, MQTT, Sensor Integration, Edge Computing"
SJP,Software Engineering,4,Refactoring and Design,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Software Engineering,4,Emerging Trends in Computing,"Innovation, Technology Trends, Emerging Technologies, Tech Research"
SJP,Software Engineering,4,Game Designing and Development,"C#, Game Design, Unity, Unreal Engine, Game Physics, Game AI, 3D Graphics"
SJP,Software Engineering,4,Bio Informatics,"Sequence Alignment, Genomics, BioPython, Phylogenetics, Protein Structure, Biological Databases"
SJP,Software Engineering,4,Game Design and development,"C#, Game Design, Unity, Unreal Engine, Game Physics, Game AI, 3D Graphics"
SJP,Software Engineering,4,Complex Systems and Agent Technology,"Simulation, Multi-Agent Systems, Complex Systems Modeling, Emergent Behavior"
SJP,Software Engineering,4,Industrial Training,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation, Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
NSBM,Data Science,1,Introduction to Computer Science,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Data Science,1,Mathematics for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
NSBM,Data Science,1,Programming in Python,"Python, NumPy, Pandas, pip, Virtual Environments"
NSBM,Data Science,1,Database Management Systems,"SQL, Database Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Normalization, ER Diagrams, CRUD Operations, Relational Algebra"
NSBM,Data Science,1,Professional Development,"Communication, Technical Writing, Teamwork, Professional Conduct"
NSBM,Data Science,1,Object Oriented Programming with Java,"Java, Maven, Gradle, JVM, OOP Principles"
NSBM,Data Science,1,Algorithms and Data Structures,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
NSBM,Data Science,1,Fundamentals of Computer Architecture,"Instruction Set Architecture, Pipelining, Cache Memory, CPU Design, Performance Metrics"
NSBM,Data Science,1,Data Communication and Networks,"Network Protocols, Network Design, Communication, TCP/IP, Routing, Switching, Wireshark, Presentation Skills, Professional Writing"
NSBM,Data Science,1,Web Based Application Development,"HTML, CSS, JavaScript, Responsive Design, REST APIs, Web Frameworks"
NSBM,Data Science,2,Introduction to Data Science,"Statistical Analysis, Descriptive Statistics, Probability, Hypothesis Testing, Excel"
NSBM,Data Science,2,Human Computer Interaction,"UI/UX Design, Usability Testing, Prototyping, User Research, Interaction Design, Figma"
NSBM,Data Science,2,Data Programming with R,"Programming, Problem Solving, Code Design, Algorithm Implementation"
NSBM,Data Science,2,Statistics for Data Science,"Data Analysis, Statistical Methods, Data Interpretation, Exploratory Data Analysis"
NSBM,Data Science,2,Introduction to Software Engineering,"Software Design, Code Review, Documentation, SDLC, Requirements Engineering"
NSBM,Data Science,2,System Fundamentals,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Data Science,2,Algorithms and Complexity,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
NSBM,Data Science,2,Data Science in Python,"Python, Data Analysis, NumPy, Pandas, pip, Virtual Environments, Statistical Methods, Data Interpretation, Exploratory Data Analysis"
NSBM,Data Science,2,Ethics in Data Science,"Data Analysis, Statistical Methods, Data Interpretation, Exploratory Data Analysis, Data Privacy, Ethical AI, GDPR, Professional Ethics, Responsible Computing"
NSBM,Data Science,3,Web Mining,"HTML, Web Scraping, BeautifulSoup, Selenium, Data Extraction, Association Rules, Classification, Clustering, Pattern Recognition, Weka, Anomaly Detection"
NSBM,Data Science,3,Advanced Statistics for Data Science,"Inferential Statistics, Multivariate Analysis, Regression, ANOVA, Time Series"
NSBM,Data Science,3,Data Warehousing & Data Mining,"Association Rules, Classification, Clustering, Pattern Recognition, Weka, Anomaly Detection"
NSBM,Data Science,3,Data Visualization,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Data Science,3,Advanced database Management Systems,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Query Optimization, Indexing, Transaction Management, NoSQL, Database Tuning"
NSBM,Data Science,3,Information Assurance and Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
NSBM,Data Science,3,Internship,"Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
NSBM,Data Science,3,Cloud Computing,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Data Science,3,Machine Learning,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
NSBM,Data Science,3,Mobile Application Development,"Kotlin, Swift, Android Studio, Mobile UI/UX, Mobile Architecture, App Deployment"
NSBM,Data Science,3,Big Data Analytics,"Hadoop, Spark, Scala, MapReduce, Hive, Distributed Computing"
NSBM,Data Science,4,Natural Language Processing,"Communication, Presentation Skills, Professional Writing"
NSBM,Data Science,4,Neural Networks,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Data Science,4,Big Data Programming,"Programming, Problem Solving, Code Design, Algorithm Implementation"
NSBM,Data Science,4,DS Honors Award Project,"Git, Documentation, Project Planning, Team Collaboration, Presentation Skills"
NSBM,Data Science,4,Urban Computing,"GIS, Smart Cities, Urban Analytics, Location-Based Services, Spatial Data"
NSBM,Data Science,4,Artificial Intelligence,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
NSBM,Data Science,4,Data Science Trends and Applications,"Data Analysis, Innovation, Statistical Methods, Data Interpretation, Exploratory Data Analysis, Technology Trends, Emerging Technologies, Tech Research"
NSBM,Data Science,4,Deep Learning,"Pytorch, Tensorflow, Linear Algebra, Calculus"
NSBM,Data Science,4,Parallel and Distributed Computing,"Distributed Algorithms, Consensus Protocols, CAP Theorem, Distributed Databases, RPC"
NSBM,Data Science,4,Internet of Things,"Arduino, Raspberry Pi, IoT Protocols, MQTT, Sensor Integration, Edge Computing"
NSBM,Computer Science,1,Introduction to Computer Science,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Computer Network,1,Mathematics for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
NSBM,Computer Network,1,Programming in Python,"Python, NumPy, Pandas, pip, Virtual Environments"
NSBM,Computer Network,1,Professional Development,"Communication, Technical Writing, Teamwork, Professional Conduct"
NSBM,Computer Network,1,Data communications and networks,"Network Protocols, Network Design, Communication, TCP/IP, Routing, Switching, Wireshark, Presentation Skills, Professional Writing"
NSBM,Computer Network,1,Object-Oriented Programming with Java,"Java, Maven, Gradle, JVM, OOP Principles"
NSBM,Computer Network,1,Algorithms and Data structures,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
NSBM,Computer Network,1,Computer Architecture,"Instruction Set Architecture, Pipelining, Cache Memory, CPU Design, Performance Metrics"
NSBM,Computer Network,1,Database Management Systems,"SQL, Database Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Normalization, ER Diagrams, CRUD Operations, Relational Algebra"
NSBM,Computer Network,1,Web-Based Application Development,"HTML, CSS, JavaScript, Responsive Design, REST APIs, Web Frameworks"
NSBM,Computer Network,2,Computer Networks,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Computer Network,2,Systems Analysis and Design,"Database Management, Modeling, Python, Java, System Architecture, SDLC Methodologies, BPMN)"
NSBM,Computer Network,2,Statistics for Computing,"Data Analysis, Statistical Methods, Data Interpretation, Exploratory Data Analysis"
NSBM,Computer Network,2,Development of Enterprise Applications I,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Computer Network,2,Human-Computer Interaction,"UI/UX Design, Prototyping, Python, JavaScript, Adobe XD)"
NSBM,Computer Network,2,Network Management,"Network Protocols, Network Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, TCP/IP, Routing, Switching, Wireshark"
NSBM,Computer Network,2,Voice and Video over IP,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Computer Network,2,Network systems configuration and administration,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Computer Network,2,Network Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
NSBM,Computer Network,2,Operating Systems,"Team Management, Process Management, Memory Management, Scheduling, Deadlock Prevention, Linux/Unix"
NSBM,Computer Network,3,Internship,"Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
NSBM,Computer Network,3,Information Assurance and Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
NSBM,Computer Network,3,Social Issues and Professional Practice,"Communication, Technical Writing, Teamwork, Professional Conduct"
NSBM,Computer Network,3,Wireless Technologies and Network Programming,"Programming, Problem Solving, Code Design, Algorithm Implementation, WiFi Standards, Wireless Protocols, RF Engineering, Mobile Networks, 5G Technology"
NSBM,Computer Network,3,Advanced Mathematics for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
NSBM,Computer Network,3,IT Project Management,"Git, Documentation, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Project Planning, Team Collaboration, Presentation Skills"
NSBM,Computer Network,3,IT Audit and Control,"IT systems, networks, and databases"
NSBM,Computer Network,3,Enterprise Architecture,"Cloud Computing, Cybersecurity, data analytics"
NSBM,Computer Network,3,Service provider systems and networks,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Computer Network,3,Cryptography,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
NSBM,Computer Network,4,CN Honours Award Project,"Git, Documentation, Project Planning, Team Collaboration, Presentation Skills"
NSBM,Computer Network,4,Data Warehousing and Data Mining,"Association Rules, Classification, Clustering, Pattern Recognition, Weka, Anomaly Detection"
NSBM,Computer Network,4,Internet of Things,"Arduino, Raspberry Pi, IoT Protocols, MQTT, Sensor Integration, Edge Computing"
NSBM,Computer Network,4,Business Policy and Strategy,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
NSBM,Computer Network,4,Enterprise Networks,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Computer Network,4,E-Business Application Development,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
NSBM,Computer Network,4,Entrepreneurship,"CMS, Data Analysis, User Experience Design, digital marketing (SEO, analytics), Financial management (bookkeeping, QuickBooks), web/app development (HTML/CSS"
NSBM,Computer Network,4,Management Information Systems,"CRM, Enterprise Systems, Business Process Modeling, ERP, Business Analysis"
NSBM,Computer Network,4,Embedded Systems,"Arduino, Raspberry Pi, IoT Protocols, MQTT, Sensor Integration, Edge Computing"
NSBM,Computer Network,4,Disaster Recovery and High availability Techniques,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
NSBM,Computer Network,4,"Intrusion Prevention, Detection & Response","Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Computer Network,4,Parallel and Distributed Computing,"Distributed Algorithms, Consensus Protocols, CAP Theorem, Distributed Databases, RPC"
NSBM,Software Engineering,1,Introduction to Computer Science,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Software Engineering,1,Mathematics for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
NSBM,Software Engineering,1,Programming in Python,"Python, NumPy, Pandas, pip, Virtual Environments"
NSBM,Software Engineering,1,Professional Development,"Communication, Technical Writing, Teamwork, Professional Conduct"
NSBM,Software Engineering,1,Data communications and networks,"Network Protocols, Network Design, Communication, TCP/IP, Routing, Switching, Wireshark, Presentation Skills, Professional Writing"
NSBM,Software Engineering,1,Object-Oriented Programming with Java,"Java, Maven, Gradle, JVM, OOP Principles"
NSBM,Software Engineering,1,Algorithms and Data structures,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
NSBM,Software Engineering,1,Computer Architecture,"Instruction Set Architecture, Pipelining, Cache Memory, CPU Design, Performance Metrics"
NSBM,Software Engineering,1,Database Management Systems,"SQL, Database Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Normalization, ER Diagrams, CRUD Operations, Relational Algebra"
NSBM,Software Engineering,1,Web-Based Application Development,"HTML, CSS, JavaScript, Responsive Design, REST APIs, Web Frameworks"
NSBM,Software Engineering,2,Computer Networks,"Network Protocols, Network Design, TCP/IP, Routing, Switching, Wireshark"
NSBM,Software Engineering,2,Systems Analysis and Design,"Java, Python, Database Management, System modeling tools (UML)"
NSBM,Software Engineering,2,Statistics for Computing,"Data Analysis, Statistical Methods, Data Interpretation, Exploratory Data Analysis"
NSBM,Software Engineering,2,Business Processes and ERP,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
NSBM,Software Engineering,2,Introduction to Software Engineering,"Software Design, Code Review, Documentation, SDLC, Requirements Engineering"
NSBM,Software Engineering,2,Software Architecture,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
NSBM,Software Engineering,2,Algorithms and Complexity,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
NSBM,Software Engineering,2,Operating Systems,"Team Management, Process Management, Memory Management, Scheduling, Deadlock Prevention, Linux/Unix"
NSBM,Software Engineering,3,Internship,"Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
NSBM,Software Engineering,3,Information Assurance and Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
NSBM,Software Engineering,3,Social Issues and Professional Practice,"Communication, Technical Writing, Teamwork, Professional Conduct"
NSBM,Software Engineering,3,Advanced Mathematics for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
NSBM,Software Engineering,3,Advanced Database Management Systems,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Query Optimization, Indexing, Transaction Management, NoSQL, Database Tuning"
NSBM,Software Engineering,3,Mobile Application Development,"Kotlin, Swift, Android Studio, Mobile UI/UX, Mobile Architecture, App Deployment"
NSBM,Software Engineering,3,Software Process Management,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
NSBM,Software Engineering,3,IT Project Management,"Git, Documentation, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Project Planning, Team Collaboration, Presentation Skills"
