title,technical_skills,tools,all_skills
Software Engineer,"['machine learning', 'python', 'tensorflow']","['mlflow', 'gcp', 'aws', 'docker']","['machine learning', 'python', 'tensorflow', 'mlflow', 'gcp', 'aws', 'docker']"
Software Engineer,"['machine learning', 'python', 'tensorflow']","['airflow', 'aws', 'gcp']","['machine learning', 'python', 'tensorflow', 'airflow', 'aws', 'gcp']"
Software Engineer,"['machine learning', 'python', 'tensorflow']","['kubernetes', 'aws', 'docker']","['machine learning', 'python', 'tensorflow', 'kubernetes', 'aws', 'docker']"
Data Scientist,"['machine learning', 'sql']","['hadoop', 'tableau']","['machine learning', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['python', 'sql']","['spark', 'jupyter', 'gcp', 'aws']","['python', 'sql', 'spark', 'jupyter', 'gcp', 'aws']"
Data Scientist,"['nosql', 'python', 'sql', 'docker']","['git', 'docker']","['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['nosql', 'python', 'sql', 'docker']","['git', 'docker']","['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['machine learning', 'python', 'sql']","['gcp', 'aws']","['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['spark', 'jupyter', 'gcp']","['machine learning', 'python', 'sql', 'spark', 'jupyter', 'gcp']"
Data Scientist,"['machine learning', 'python', 'sql']","['gcp', 'aws']","['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python']","['azure', 'aws']","['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Analyst,"['python', 'sql']","['hadoop', 'tableau']","['python', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['pytorch', 'deep learning', 'tensorflow', 'time series', 'statistics']","['spark', 'azure', 'gcp']","['pytorch', 'deep learning', 'tensorflow', 'time series', 'statistics', 'spark', 'azure', 'gcp']"
Data Scientist,"['machine learning', 'python']","['jupyter', 'databricks', 'gcp', 'azure', 'aws']","['machine learning', 'python', 'jupyter', 'databricks', 'gcp', 'azure', 'aws']"
Software Engineer,"['machine learning', 'python', 'sql']","['airflow', 'docker', 'gcp', 'kubernetes', 'mlflow']","['machine learning', 'python', 'sql', 'airflow', 'docker', 'gcp', 'kubernetes', 'mlflow']"
Data Analyst,"['python', 'sql']","['power bi', 'google analytics', 'sql server']","['python', 'sql', 'power bi', 'google analytics', 'sql server']"
Data Scientist,"['machine learning', 'python', 'azure']","['gcp', 'azure', 'aws']","['machine learning', 'python', 'azure', 'gcp', 'azure', 'aws']"
Data Analyst,"['excel', 'pandas', 'sql', 'data cleaning', 'python']","['excel', 'power bi', 'sql server', 'tableau']","['excel', 'pandas', 'sql', 'data cleaning', 'python', 'excel', 'power bi', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'nosql', 'mysql', 'deep learning', 'sql', 'azure', 'python']","['hadoop', 'gcp', 'azure', 'aws']","['machine learning', 'nosql', 'mysql', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['spark', 'jupyter', 'databricks', 'hadoop', 'aws']","['machine learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'jupyter', 'azure']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'azure']"
Data Scientist,"['machine learning', 'python', 'sql']","['gcp', 'aws']","['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python']","['azure', 'aws']","['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Scientist,"['numpy', 'python', 'pandas', 'nlp']","['spark', 'hadoop', 'aws']","['numpy', 'python', 'pandas', 'nlp', 'spark', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'python']","['databricks', 'jupyter', 'gcp', 'aws']","['machine learning', 'python', 'databricks', 'jupyter', 'gcp', 'aws']"
Data Scientist,"['python', 'sql']","['git', 'tableau']","['python', 'sql', 'git', 'tableau']"
Data Analyst,"['python', 'sql']","['hadoop', 'tableau']","['python', 'sql', 'hadoop', 'tableau']"
Data Analyst,"['python', 'sql']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['data visualization', 'tableau', 'sql', 'data cleaning', 'power bi']","['excel', 'power bi', 'google analytics', 'sql server']","['data visualization', 'tableau', 'sql', 'data cleaning', 'power bi', 'excel', 'power bi', 'google analytics', 'sql server']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'databricks', 'hadoop', 'gcp', 'aws']","['machine learning', 'python', 'sql', 'jupyter', 'databricks', 'hadoop', 'gcp', 'aws']"
Data Scientist,"['pandas', 'sql', 'nlp', 'model evaluation']","['spark', 'jupyter', 'databricks', 'gcp', 'aws']","['pandas', 'sql', 'nlp', 'model evaluation', 'spark', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow']","['jupyter', 'hadoop', 'azure', 'aws']","['machine learning', 'pytorch', 'python', 'tensorflow', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'numpy', 'python']","['spark', 'jupyter', 'hadoop', 'azure', 'aws']","['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'numpy', 'python', 'spark', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['spark', 'jupyter', 'databricks', 'gcp', 'aws']","['machine learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python']","['spark', 'jupyter', 'hadoop', 'azure', 'aws']","['machine learning', 'python', 'spark', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['tensorflow', 'pandas', 'nlp', 'sql']","['jupyter', 'azure', 'databricks', 'hadoop']","['tensorflow', 'pandas', 'nlp', 'sql', 'jupyter', 'azure', 'databricks', 'hadoop']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow']","['databricks', 'azure', 'aws']","['machine learning', 'pytorch', 'python', 'tensorflow', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python']","['spark', 'gcp', 'databricks']","['machine learning', 'python', 'spark', 'gcp', 'databricks']"
Data Scientist,"['deep learning', 'feature engineering', 'pandas', 'time series']","['spark', 'hadoop', 'azure']","['deep learning', 'feature engineering', 'pandas', 'time series', 'spark', 'hadoop', 'azure']"
Software Engineer,"['machine learning', 'cd', 'pytorch', 'model deployment', 'ci', 'mlops', 'kubernetes']","['kubernetes', 'mlflow', 'aws', 'docker']","['machine learning', 'cd', 'pytorch', 'model deployment', 'ci', 'mlops', 'kubernetes', 'kubernetes', 'mlflow', 'aws', 'docker']"
Data Scientist,"['machine learning', 'postgresql', 'python', 'sql']","['spark', 'jupyter', 'hadoop']","['machine learning', 'postgresql', 'python', 'sql', 'spark', 'jupyter', 'hadoop']"
Data Scientist,"['python', 'sql']","['spark', 'databricks', 'gcp', 'azure', 'aws']","['python', 'sql', 'spark', 'databricks', 'gcp', 'azure', 'aws']"
Data Analyst,"['tableau', 'pandas', 'reporting', 'power bi', 'statistics']","['excel', 'power bi', 'tableau']","['tableau', 'pandas', 'reporting', 'power bi', 'statistics', 'excel', 'power bi', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow']","['spark', 'jupyter', 'hadoop', 'azure', 'aws']","['machine learning', 'pytorch', 'python', 'tensorflow', 'spark', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'tensorflow', 'azure', 'python']","['azure', 'aws']","['machine learning', 'pytorch', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Scientist,"['machine learning', 'nosql', 'pandas', 'sql', 'numpy', 'python']","['spark', 'azure', 'databricks']","['machine learning', 'nosql', 'pandas', 'sql', 'numpy', 'python', 'spark', 'azure', 'databricks']"
Data Analyst,"['mysql', 'python', 'sql']","['excel', 'google analytics', 'sql server', 'tableau']","['mysql', 'python', 'sql', 'excel', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'kubernetes', 'pytorch', 'model deployment']","['airflow', 'docker', 'gcp', 'aws', 'mlflow']","['machine learning', 'kubernetes', 'pytorch', 'model deployment', 'airflow', 'docker', 'gcp', 'aws', 'mlflow']"
Data Scientist,"['machine learning', 'spark ml', 'pytorch', 'nosql', 'sql', 'tensorflow', 'python']","['spark', 'jupyter', 'databricks', 'hadoop', 'gcp']","['machine learning', 'spark ml', 'pytorch', 'nosql', 'sql', 'tensorflow', 'python', 'spark', 'jupyter', 'databricks', 'hadoop', 'gcp']"
Data Scientist,"['pandas', 'nlp', 'tensorflow', 'time series', 'python', 'statistics']","['spark', 'jupyter', 'gcp', 'azure', 'aws']","['pandas', 'nlp', 'tensorflow', 'time series', 'python', 'statistics', 'spark', 'jupyter', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['gcp', 'aws']","['machine learning', 'deep learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'azure']","['spark', 'jupyter', 'hadoop', 'gcp', 'aws']","['machine learning', 'python', 'azure', 'spark', 'jupyter', 'hadoop', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'scikit-learn', 'feature engineering', 'sql']","['jupyter', 'hadoop', 'databricks', 'aws']","['machine learning', 'scikit-learn', 'feature engineering', 'sql', 'jupyter', 'hadoop', 'databricks', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'tensorflow', 'numpy', 'python']","['hadoop', 'aws']","['machine learning', 'pytorch', 'pandas', 'deep learning', 'tensorflow', 'numpy', 'python', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'sql']","['spark', 'databricks', 'hadoop', 'gcp', 'azure']","['machine learning', 'sql', 'spark', 'databricks', 'hadoop', 'gcp', 'azure']"
Data Scientist,"['python', 'sql']","['spark', 'databricks', 'hadoop', 'gcp', 'azure']","['python', 'sql', 'spark', 'databricks', 'hadoop', 'gcp', 'azure']"
Data Scientist,"['deep learning', 'python', 'docker']","['airflow', 'aws', 'mlflow', 'docker']","['deep learning', 'python', 'docker', 'airflow', 'aws', 'mlflow', 'docker']"
Data Scientist,"['machine learning', 'airflow', 'python', 'sql']","['airflow', 'git']","['machine learning', 'airflow', 'python', 'sql', 'airflow', 'git']"
Data Scientist,"['deep learning', 'python', 'docker']","['airflow', 'docker', 'gcp', 'kubernetes', 'aws']","['deep learning', 'python', 'docker', 'airflow', 'docker', 'gcp', 'kubernetes', 'aws']"
Data Analyst,"['data visualization', 'excel', 'pandas', 'power bi', 'statistics']","['excel', 'power bi', 'google analytics']","['data visualization', 'excel', 'pandas', 'power bi', 'statistics', 'excel', 'power bi', 'google analytics']"
Data Scientist,"['python', 'sql']","['hadoop', 'azure', 'databricks', 'aws']","['python', 'sql', 'hadoop', 'azure', 'databricks', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'tensorflow', 'azure', 'python']","['azure', 'aws']","['machine learning', 'pytorch', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Scientist,"['machine learning', 'nosql', 'pandas', 'sql', 'numpy', 'python']","['databricks', 'azure', 'gcp', 'aws']","['machine learning', 'nosql', 'pandas', 'sql', 'numpy', 'python', 'databricks', 'azure', 'gcp', 'aws']"
Data Scientist,"['cd', 'ci', 'mlops', 'docker', 'deep learning', 'tensorflow', 'python']","['airflow', 'aws', 'gcp', 'docker']","['cd', 'ci', 'mlops', 'docker', 'deep learning', 'tensorflow', 'python', 'airflow', 'aws', 'gcp', 'docker']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'tensorflow']","['hadoop', 'gcp', 'azure', 'aws']","['machine learning', 'deep learning', 'python', 'tensorflow', 'hadoop', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure']","['gcp', 'azure', 'aws']","['machine learning', 'python', 'sql', 'azure', 'gcp', 'azure', 'aws']"
Data Scientist,"['python', 'sql', 'docker']","['hadoop', 'git', 'docker', 'tableau']","['python', 'sql', 'docker', 'hadoop', 'git', 'docker', 'tableau']"
Data Scientist,"['scikit-learn', 'pandas', 'nlp', 'deep learning', 'sql', 'python']","['hadoop', 'gcp', 'azure', 'databricks']","['scikit-learn', 'pandas', 'nlp', 'deep learning', 'sql', 'python', 'hadoop', 'gcp', 'azure', 'databricks']"
Data Analyst,"['python', 'sql']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure']","['gcp', 'azure', 'aws']","['machine learning', 'python', 'sql', 'azure', 'gcp', 'azure', 'aws']"
Data Scientist,"['python', 'sql', 'docker']","['hadoop', 'git', 'docker', 'tableau']","['python', 'sql', 'docker', 'hadoop', 'git', 'docker', 'tableau']"
Data Scientist,"['scikit-learn', 'feature engineering', 'sql', 'nlp']","['jupyter', 'gcp', 'databricks']","['scikit-learn', 'feature engineering', 'sql', 'nlp', 'jupyter', 'gcp', 'databricks']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python']","['gcp', 'azure', 'aws']","['machine learning', 'deep learning', 'sql', 'azure', 'python', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'azure', 'gcp']","['machine learning', 'python', 'sql', 'jupyter', 'azure', 'gcp']"
Data Analyst,"['python', 'sql']","['google analytics', 'sql server', 'tableau']","['python', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python']","['hadoop', 'azure']","['machine learning', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'databricks', 'hadoop', 'azure', 'aws']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'databricks', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'jupyter', 'databricks']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'databricks']"
Data Scientist,"['python', 'sql']","['jupyter', 'databricks', 'gcp', 'azure', 'aws']","['python', 'sql', 'jupyter', 'databricks', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'databricks', 'gcp', 'aws']","['machine learning', 'python', 'sql', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Analyst,"['excel', 'power bi', 'python', 'reporting']","['excel', 'power bi', 'google analytics']","['excel', 'power bi', 'python', 'reporting', 'excel', 'power bi', 'google analytics']"
Data Scientist,"['machine learning', 'deep learning', 'pytorch', 'python']","['jupyter', 'azure', 'gcp', 'hadoop']","['machine learning', 'deep learning', 'pytorch', 'python', 'jupyter', 'azure', 'gcp', 'hadoop']"
Data Analyst,"['numpy', 'python', 'pandas', 'sql']","['excel', 'power bi', 'tableau']","['numpy', 'python', 'pandas', 'sql', 'excel', 'power bi', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql']","['hadoop', 'tableau']","['machine learning', 'python', 'sql', 'hadoop', 'tableau']"
Data Analyst,"['python', 'sql']","['excel', 'power bi', 'google analytics', 'sql server']","['python', 'sql', 'excel', 'power bi', 'google analytics', 'sql server']"
Data Scientist,"['machine learning', 'airflow', 'pytorch', 'docker', 'sql', 'tensorflow', 'python']","['airflow', 'docker']","['machine learning', 'airflow', 'pytorch', 'docker', 'sql', 'tensorflow', 'python', 'airflow', 'docker']"
Data Scientist,"['python', 'sql']","['jupyter', 'azure', 'aws']","['python', 'sql', 'jupyter', 'azure', 'aws']"
Data Analyst,"['data visualization', 'tableau', 'pandas', 'sql', 'data cleaning', 'power bi']","['excel', 'power bi', 'google analytics', 'tableau']","['data visualization', 'tableau', 'pandas', 'sql', 'data cleaning', 'power bi', 'excel', 'power bi', 'google analytics', 'tableau']"
Data Analyst,"['python', 'sql']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'gcp', 'azure', 'databricks']","['machine learning', 'python', 'sql', 'jupyter', 'gcp', 'azure', 'databricks']"
Data Analyst,"['machine learning', 'python', 'sql']","['google analytics', 'sql server', 'tableau']","['machine learning', 'python', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure']","['git', 'azure', 'aws', 'tableau']","['machine learning', 'python', 'sql', 'azure', 'git', 'azure', 'aws', 'tableau']"
Data Analyst,"['sql', 'reporting', 'data cleaning', 'power bi', 'python', 'statistics']","['excel', 'sql server', 'tableau']","['sql', 'reporting', 'data cleaning', 'power bi', 'python', 'statistics', 'excel', 'sql server', 'tableau']"
Data Analyst,"['data visualization', 'pandas', 'sql', 'reporting', 'power bi']","['google analytics', 'sql server', 'tableau']","['data visualization', 'pandas', 'sql', 'reporting', 'power bi', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure']","['gcp', 'azure', 'aws']","['machine learning', 'python', 'sql', 'azure', 'gcp', 'azure', 'aws']"
Data Scientist,"['python', 'sql', 'docker']","['hadoop', 'git', 'docker', 'tableau']","['python', 'sql', 'docker', 'hadoop', 'git', 'docker', 'tableau']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python']","['gcp', 'azure', 'aws']","['machine learning', 'deep learning', 'sql', 'azure', 'python', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['databricks', 'gcp', 'azure', 'aws']","['machine learning', 'python', 'sql', 'databricks', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'airflow', 'pytorch', 'docker', 'deep learning', 'tensorflow', 'python']","['docker', 'airflow', 'aws', 'tableau']","['machine learning', 'airflow', 'pytorch', 'docker', 'deep learning', 'tensorflow', 'python', 'docker', 'airflow', 'aws', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'databricks', 'hadoop', 'gcp']","['machine learning', 'python', 'sql', 'jupyter', 'databricks', 'hadoop', 'gcp']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python']","['hadoop', 'azure']","['machine learning', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'jupyter', 'databricks', 'hadoop', 'azure']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'jupyter', 'gcp']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'gcp']"
Data Scientist,"['python', 'sql']","['jupyter', 'databricks', 'hadoop', 'gcp', 'aws']","['python', 'sql', 'jupyter', 'databricks', 'hadoop', 'gcp', 'aws']"
Data Scientist,"['scikit-learn', 'feature engineering', 'python', 'model evaluation']","['git', 'tableau']","['scikit-learn', 'feature engineering', 'python', 'model evaluation', 'git', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure']","['git', 'azure', 'aws', 'tableau']","['machine learning', 'python', 'sql', 'azure', 'git', 'azure', 'aws', 'tableau']"
Data Analyst,"['machine learning', 'python', 'sql']","['google analytics', 'sql server', 'tableau']","['machine learning', 'python', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['numpy', 'deep learning', 'python', 'tensorflow']","['spark', 'jupyter', 'databricks', 'azure', 'aws']","['numpy', 'deep learning', 'python', 'tensorflow', 'spark', 'jupyter', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['spark', 'hadoop', 'azure', 'databricks']","['machine learning', 'python', 'sql', 'spark', 'hadoop', 'azure', 'databricks']"
Data Scientist,"['scikit-learn', 'pandas', 'nlp', 'deep learning', 'model evaluation']","['spark', 'jupyter', 'hadoop', 'azure', 'aws']","['scikit-learn', 'pandas', 'nlp', 'deep learning', 'model evaluation', 'spark', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python']","['jupyter', 'aws', 'databricks', 'azure']","['machine learning', 'python', 'jupyter', 'aws', 'databricks', 'azure']"
Data Analyst,"['data visualization', 'tableau', 'excel', 'sql', 'data cleaning', 'power bi']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['data visualization', 'tableau', 'excel', 'sql', 'data cleaning', 'power bi', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['machine learning', 'python', 'sql']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['machine learning', 'python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['machine learning', 'python', 'sql']","['excel', 'sql server', 'tableau']","['machine learning', 'python', 'sql', 'excel', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python']","['hadoop', 'azure']","['machine learning', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'numpy', 'pytorch', 'time series']","['jupyter', 'databricks', 'hadoop', 'gcp', 'azure']","['machine learning', 'numpy', 'pytorch', 'time series', 'jupyter', 'databricks', 'hadoop', 'gcp', 'azure']"
Data Scientist,"['machine learning', 'nosql', 'mysql', 'sql', 'python']","['spark', 'azure', 'gcp']","['machine learning', 'nosql', 'mysql', 'sql', 'python', 'spark', 'azure', 'gcp']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql']","['spark', 'jupyter', 'databricks', 'gcp', 'aws']","['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Scientist,"['python', 'sql']","['jupyter', 'azure', 'gcp']","['python', 'sql', 'jupyter', 'azure', 'gcp']"
Data Scientist,"['pytorch', 'pandas', 'feature engineering', 'python', 'statistics']","['git', 'tableau']","['pytorch', 'pandas', 'feature engineering', 'python', 'statistics', 'git', 'tableau']"
Data Scientist,"['machine learning', 'mysql']","['hadoop', 'databricks', 'gcp']","['machine learning', 'mysql', 'hadoop', 'databricks', 'gcp']"
Data Scientist,"['machine learning', 'python', 'sql']","['spark', 'jupyter', 'hadoop', 'aws']","['machine learning', 'python', 'sql', 'spark', 'jupyter', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['hadoop', 'tableau']","['machine learning', 'python', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'airflow', 'pytorch', 'docker', 'sql', 'tensorflow', 'python']","['airflow', 'docker']","['machine learning', 'airflow', 'pytorch', 'docker', 'sql', 'tensorflow', 'python', 'airflow', 'docker']"
Data Analyst,"['numpy', 'python', 'pandas', 'sql']","['google analytics', 'sql server', 'tableau']","['numpy', 'python', 'pandas', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Analyst,"['python', 'sql']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['python', 'sql']","['spark', 'jupyter', 'databricks', 'hadoop', 'azure']","['python', 'sql', 'spark', 'jupyter', 'databricks', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'python']","['spark', 'jupyter', 'databricks', 'azure', 'aws']","['machine learning', 'python', 'spark', 'jupyter', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'pyspark', 'sql', 'azure', 'python']","['gcp', 'azure', 'aws']","['machine learning', 'pyspark', 'sql', 'azure', 'python', 'gcp', 'azure', 'aws']"
