title,all_skills
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'gcp']"
Data Scientist,"['python', 'sql', 'jupyter', 'databricks', 'hadoop', 'gcp', 'aws']"
Data Scientist,"['scikit-learn', 'feature engineering', 'python', 'model evaluation', 'git', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql', 'azure', 'git', 'azure', 'aws', 'tableau']"
Data Analyst,"['machine learning', 'python', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['numpy', 'deep learning', 'python', 'tensorflow', 'spark', 'jupyter', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'spark', 'hadoop', 'azure', 'databricks']"
Data Scientist,"['scikit-learn', 'pandas', 'nlp', 'deep learning', 'model evaluation', 'spark', 'jupyter', 'hadoop', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'jupyter', 'aws', 'databricks', 'azure']"
Data Analyst,"['data visualization', 'tableau', 'excel', 'sql', 'data cleaning', 'power bi', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['machine learning', 'python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['machine learning', 'python', 'sql', 'excel', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'numpy', 'pytorch', 'time series', 'jupyter', 'databricks', 'hadoop', 'gcp', 'azure']"
Data Scientist,"['machine learning', 'nosql', 'mysql', 'sql', 'python', 'spark', 'azure', 'gcp']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql', 'spark', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Scientist,"['python', 'sql', 'jupyter', 'azure', 'gcp']"
Data Scientist,"['pytorch', 'pandas', 'feature engineering', 'python', 'statistics', 'git', 'tableau']"
Data Scientist,"['machine learning', 'mysql', 'hadoop', 'databricks', 'gcp']"
Data Scientist,"['machine learning', 'python', 'sql', 'spark', 'jupyter', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'airflow', 'pytorch', 'docker', 'sql', 'tensorflow', 'python', 'airflow', 'docker']"
Data Analyst,"['numpy', 'python', 'pandas', 'sql', 'google analytics', 'sql server', 'tableau']"
Data Analyst,"['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['python', 'sql', 'spark', 'jupyter', 'databricks', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'python', 'spark', 'jupyter', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'pyspark', 'sql', 'azure', 'python', 'gcp', 'azure', 'aws']"
Data Scientist,"['postgresql', 'python', 'sql', 'hadoop', 'azure', 'gcp']"
Software Engineer,"['cd', 'pytorch', 'ci', 'docker', 'tensorflow', 'kubernetes', 'python', 'airflow', 'kubernetes', 'mlflow', 'docker']"
Data Scientist,"['machine learning', 'python', 'sql', 'jupyter', 'databricks', 'gcp', 'azure', 'aws']"
Data Scientist,"['numpy', 'feature engineering', 'sql', 'time series', 'spark', 'jupyter', 'hadoop', 'azure']"
Data Analyst,"['apache spark', 'python', 'sql', 'hadoop', 'git', 'aws']"
Data Analyst,"['azure', 'sql', 'azure', 'tableau']"
Data Analyst,"['azure', 'sql', 'azure', 'tableau']"
Data Scientist,"['machine learning', 'python', 'sql', 'jupyter', 'databricks', 'hadoop', 'azure', 'aws']"
Data Scientist,"['pandas', 'deep learning', 'time series', 'python', 'statistics', 'jupyter', 'hadoop', 'databricks']"
Data Analyst,"['power bi', 'sql', 'pandas', 'tableau', 'excel', 'power bi', 'google analytics', 'tableau']"
Data Scientist,"['scikit-learn', 'pandas', 'statistics', 'model evaluation', 'jupyter', 'hadoop', 'gcp', 'azure', 'aws']"
Data Scientist,"['numpy', 'deep learning', 'scikit-learn', 'spark', 'databricks', 'aws']"
Data Analyst,"['tableau', 'excel', 'pandas', 'reporting', 'data cleaning', 'python', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['data visualization', 'tableau', 'excel', 'pandas', 'power bi', 'python', 'excel', 'google analytics', 'sql server']"
Data Scientist,"['sql', 'pytorch', 'pandas', 'statistics', 'jupyter', 'databricks', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'azure', 'azure', 'aws']"
Data Scientist,"['numpy', 'feature engineering', 'sql', 'model evaluation', 'hadoop', 'aws', 'gcp']"
Data Scientist,"['numpy', 'nlp', 'tensorflow', 'statistics', 'spark', 'hadoop', 'azure']"
Data Scientist,"['machine learning', 'python', 'pandas', 'sql', 'jupyter', 'databricks', 'hadoop', 'gcp', 'azure']"
Data Scientist,"['deep learning', 'scikit-learn', 'pandas', 'spark', 'jupyter', 'hadoop', 'gcp']"
Data Scientist,"['machine learning', 'python', 'apache spark', 'sql', 'aws', 'tableau']"
Data Analyst,"['python', 'sql', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Analyst,"['tableau', 'excel', 'pandas', 'sql', 'reporting', 'power bi', 'power bi', 'google analytics', 'tableau']"
Data Scientist,"['machine learning', 'pandas', 'tensorflow', 'azure', 'python', 'hadoop', 'azure']"
Data Scientist,"['pytorch', 'scikit-learn', 'deep learning', 'time series', 'numpy', 'model evaluation', 'jupyter', 'hadoop', 'gcp', 'azure']"
Data Analyst,"['python', 'sql', 'azure', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['machine learning', 'python', 'sql', 'hadoop', 'azure', 'gcp']"
Data Scientist,"['machine learning', 'python', 'pyspark', 'spark', 'jupyter', 'databricks', 'hadoop', 'aws']"
Data Scientist,"['machine learning', 'pandas', 'pyspark', 'sql', 'numpy', 'python', 'git', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'tensorflow', 'python', 'spark', 'hadoop', 'azure', 'databricks']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'gcp', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['data visualization', 'tableau', 'excel', 'pandas', 'sql', 'reporting', 'power bi', 'google analytics', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['data visualization', 'tableau', 'pandas', 'data cleaning', 'power bi', 'excel', 'power bi', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['data visualization', 'tableau', 'excel', 'sql', 'power bi', 'statistics', 'excel', 'power bi', 'google analytics', 'tableau']"
Data Analyst,"['tableau', 'excel', 'pandas', 'sql', 'data cleaning', 'power bi', 'google analytics', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'gcp', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['excel', 'statistics', 'sql', 'reporting', 'excel', 'power bi', 'sql server']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'gcp', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'sql', 'tensorflow', 'azure', 'python', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['data visualization', 'excel', 'pandas', 'reporting', 'power bi', 'statistics', 'excel', 'sql server', 'tableau']"
Software Engineer,"['machine learning', 'pytorch', 'mysql', 'docker', 'deep learning', 'tensorflow', 'python', 'airflow', 'kubernetes', 'aws']"
Data Analyst,"['data visualization', 'python', 'sql', 'tableau', 'excel', 'google analytics', 'sql server', 'tableau']"
Data Scientist,"['machine learning', 'data visualization', 'deep learning', 'time series', 'statistics', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'hadoop', 'aws', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'python', 'numpy', 'pandas', 'tensorflow']"
Data Analyst,"['pyspark', 'airflow', 'azure', 'sql', 'airflow', 'azure', 'hadoop']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'tableau', 'excel', 'sql', 'power bi', 'python']"
Data Scientist,"['machine learning', 'pytorch', 'docker', 'sql', 'tensorflow', 'azure', 'python', 'docker', 'gcp', 'git', 'azure', 'aws']"
Data Scientist,"['data visualization', 'nlp', 'deep learning', 'time series', 'feature engineering', 'statistics', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'hadoop', 'aws', 'tableau']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'tableau', 'excel', 'sql', 'power bi', 'python']"
Data Scientist,"['machine learning', 'python', 'sql', 'jupyter', 'pytorch', 'scikit-learn', 'pandas', 'numpy']"
Software Engineer,"['machine learning', 'nosql', 'python', 'sql', 'aws']"
Data Scientist,"['python', 'sql', 'azure', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'tableau', 'excel', 'sql', 'power bi', 'python']"
Data Scientist,"['machine learning', 'nosql', 'python', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'deep learning', 'time series', 'statistics', 'model evaluation', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'data visualization', 'deep learning', 'time series', 'statistics', 'model evaluation', 'jupyter', 'scikit-learn', 'pandas', 'tensorflow']"
Data Scientist,"['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['machine learning', 'nosql', 'python', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['deep learning', 'data visualization', 'nlp', 'model evaluation', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'data visualization', 'nlp', 'deep learning', 'time series', 'model evaluation', 'numpy', 'jupyter', 'python', 'pandas']"
Data Scientist,"['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'jupyter', 'scikit-learn', 'pandas', 'tensorflow', 'numpy']"
Data Scientist,"['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'hadoop', 'tableau']"
Data Scientist,"['machine learning', 'data visualization', 'nlp', 'feature engineering', 'model evaluation', 'scikit-learn', 'pandas', 'tensorflow', 'numpy', 'python']"
Data Scientist,"['deep learning', 'nlp', 'statistics', 'model evaluation', 'jupyter', 'scikit-learn', 'pytorch', 'python']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'excel', 'power bi', 'python']"
Data Scientist,"['machine learning', 'python', 'azure', 'gcp', 'azure', 'aws']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'excel', 'power bi', 'sql', 'python']"
Data Scientist,"['machine learning', 'nosql', 'mysql', 'deep learning', 'sql', 'azure', 'python', 'hadoop', 'gcp', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql', 'pytorch', 'scikit-learn', 'pandas', 'numpy', 'python']"
Data Scientist,"['machine learning', 'deep learning', 'python', 'sql', 'scikit-learn', 'pytorch', 'python', 'tensorflow']"
Data Scientist,"['machine learning', 'python', 'sql', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Scientist,"['data visualization', 'feature engineering', 'nlp', 'statistics', 'jupyter', 'scikit-learn', 'pandas', 'numpy', 'python']"
Data Scientist,"['machine learning', 'data visualization', 'nlp', 'deep learning', 'feature engineering', 'model evaluation', 'jupyter', 'scikit-learn', 'pandas', 'tensorflow']"
Data Scientist,"['data visualization', 'nlp', 'statistics', 'model evaluation', 'git', 'tableau']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'hadoop', 'tableau']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'excel', 'sql', 'tableau']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'tableau', 'excel', 'sql', 'power bi', 'python']"
Data Scientist,"['machine learning', 'python', 'sql', 'pytorch', 'scikit-learn', 'pandas', 'tensorflow', 'python']"
Data Scientist,"['machine learning', 'nlp', 'time series', 'feature engineering', 'statistics', 'scikit-learn', 'pytorch', 'pandas']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow', 'numpy', 'jupyter', 'tensorflow']"
Data Scientist,"['machine learning', 'pytorch', 'pandas', 'deep learning', 'sql', 'tensorflow', 'numpy', 'python', 'jupyter', 'pytorch', 'scikit-learn', 'tensorflow', 'numpy']"
Data Scientist,"['machine learning', 'python', 'sql', 'numpy', 'scikit-learn', 'tensorflow']"
Data Scientist,"['machine learning', 'data visualization', 'nlp', 'feature engineering', 'model evaluation', 'jupyter', 'pandas', 'tensorflow']"
Data Scientist,"['data visualization', 'nlp', 'deep learning', 'time series', 'feature engineering', 'model evaluation', 'numpy', 'pytorch', 'tensorflow']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow', 'numpy', 'pytorch', 'python', 'tensorflow']"
Data Scientist,"['machine learning', 'nlp', 'deep learning', 'statistics', 'model evaluation', 'jupyter', 'scikit-learn', 'pytorch']"
Data Scientist,"['machine learning', 'data visualization', 'nlp', 'deep learning', 'feature engineering', 'jupyter', 'pytorch', 'python', 'pandas']"
Data Scientist,"['machine learning', 'postgresql', 'python', 'sql', 'jupyter', 'pytorch', 'tensorflow', 'numpy', 'python']"
Data Scientist,"['data visualization', 'deep learning', 'nlp', 'model evaluation', 'numpy', 'python', 'pandas', 'tensorflow']"
Data Analyst,"['business analytics', 'sql', 'data cleaning', 'data analysis', 'dashboarding', 'tableau', 'excel', 'sql', 'power bi', 'python']"
Data Scientist,"['machine learning', 'pytorch', 'python', 'tensorflow', 'numpy', 'jupyter', 'pytorch', 'pandas']"
Data Scientist,"['machine learning', 'pytorch', 'tensorflow', 'azure', 'python', 'azure', 'aws']"
Data Scientist,"['machine learning', 'nosql', 'pandas', 'sql', 'numpy', 'python', 'jupyter', 'scikit-learn', 'pytorch', 'tensorflow']"
Data Analyst,"['mysql', 'python', 'sql', 'excel', 'python', 'sql']"
Data Scientist,"['model evaluation', 'data visualization', 'nlp', 'time series', 'pytorch', 'scikit-learn', 'tensorflow', 'numpy', 'python']"
